,Rubrik,Länk
0,Ted & Kaj: Din mamma var en sköldpadda,https://arenan.yle.fi/1-50576822
1,Senaste nytt om coronaviruset,https://svenska.yle.fi/coronavirus
2,Tusentals Hongkongbor ute på gatorna i protest mot ny inskränkande lag - polisen grep människor med hänvisning till lagen,https://svenska.yle.fi/artikel/2020/07/01/tusentals-hongkongbor-ute-pa-gatorna-i-protest-mot-ny-inskrankande-lag-polisen
3,Hongkongborna uppmärksammade 23 år under kinesiskt styre i dystra tecken - nationell säkerhetslag trädde i kraft under årsdagen,https://svenska.yle.fi/artikel/2020/07/01/hongkongborna-uppmarksammade-23-ar-under-kinesiskt-styre-i-dystra-tecken
4,Att vara kvinna och jägare är att våga ta plats och bevisa sin duglighet,https://svenska.yle.fi/artikel/2020/07/01/att-vara-kvinna-och-jagare-ar-att-vaga-ta-plats-och-bevisa-sin-duglighet
5,Talvivaaraledare friades - inget insiderbrott när teckningsrätter såldes,https://svenska.yle.fi/artikel/2020/07/01/talvivaaraledare-friades-inget-insiderbrott-nar-teckningsratter-saldes
6,"Israels annektering av Västbanken skjuts fram: ""Israel och USA spelar ett högt spel""",https://svenska.yle.fi/artikel/2020/07/01/israels-annektering-av-vastbanken-skjuts-fram-israel-och-usa-spelar-ett-hogt-spel
7,"Jobb som bärplockare är ökänt för dåliga arbetsförhållanden men så ska det inte vara: ""Det är viktigt att alla behandlas lika oavsett varifrån de kommer""",https://svenska.yle.fi/artikel/2020/07/01/jobb-som-barplockare-ar-okant-for-daliga-arbetsforhallanden-men-sa-ska-det-inte
8,"Coronakrisen i centrum när Tyskland tar över EU-ordförandeklubban, juli inleds med uppluckrade restriktioner för utomhusevenemang – läs det senaste om coronaviruset här",https://svenska.yle.fi/coronavirus
9,"Förundersökningen om bröderna som sköt mot polis i Borgå är nästan klar - vad som hände är klarlagt, men motivet saknas",https://svenska.yle.fi/artikel/2020/07/01/forundersokningen-om-broderna-som-skot-mot-polis-i-borga-ar-nastan-klar-vad-som
10,Knivman sprang längs gatorna i Vasa – släppte vapnet först efter gripandet,https://svenska.yle.fi/artikel/2020/07/01/knivman-sprang-langs-gatorna-i-vasa-slappte-vapnet-forst-efter-gripandet
11,Knivhuggning i Billnäs - 17-årigt offer fördes till sjukhus,https://svenska.yle.fi/artikel/2020/07/01/knivhuggning-i-billnas-17-arigt-offer-fordes-till-sjukhus
12,Nu kan du njuta av mat och dryck på Senatstorget i Helsingfors – specialnät håller måsarna borta,https://arenan.yle.fi/1-50579362
13,IFK Mariehamn hoppas ha lämnat skuggan av våldtäktsfallet bakom sig – fallet höll på att kosta laget understöd: ”Fick diskutera med en av våra huvudsponsorer”,https://svenska.yle.fi/artikel/2020/07/01/ifk-mariehamn-hoppas-ha-lamnat-skuggan-av-valdtaktsfallet-bakom-sig-fallet-holl
14,Italien beslagtog rekordmängd amfetamin - amfetaminet var producerat av terrorgruppen IS,https://svenska.yle.fi/artikel/2020/07/01/italien-beslagtog-rekordmangd-amfetamin-amfetaminet-var-producerat-av
15,Medieprofilen Peter Nyman tillbringar en stor del av sin fritid i Pojo: ”Det är bra att jag blev en kändis först vid närmare 30”,https://svenska.yle.fi/artikel/2020/07/01/sommargasten-peter-nyman-tillbringar-en-stor-del-av-sin-fritid-i-pojo-det-ar-bra
16,Hjärnskadade Irina föreläser ibland om sina erfarenheter - i FPA:s ögon är hon arbetsför och behöver inget stöd,https://svenska.yle.fi/artikel/2020/07/01/hjarnskadade-irina-forelaser-ibland-om-sina-erfarenheter-i-fpas-ogon-ar-hon
17,Österbotten fick nio miljoner euro för att tjuvstarta social- och hälsovårdsreformen,https://svenska.yle.fi/artikel/2020/07/01/osterbotten-fick-nio-miljoner-euro-for-att-tjuvstarta-social-och
18,"Linda Cainberg avslutar handbollskarriären: ""Färre skador och lite andra val och jag kunde kanske ha blivit ännu lite bättre, men jag har sett var gränsen gått""",https://svenska.yle.fi/artikel/2020/07/01/linda-cainberg-avslutar-handbollskarriaren-ingenting-blev-ogjort-farre-skador-och
19,IT-företagaren Kaj Arnö: Hårt arbete och kloka beslut eller bondtur att vi lyckades sälja IT-firman för en miljard dollar?,https://svenska.yle.fi/artikel/2020/07/01/it-foretagaren-kaj-arno-hart-arbete-och-kloka-beslut-eller-bondtur-att-vi
20,Lyssna på Kaj Arnös sommarprat!,https://arenan.yle.fi/1-50548527
21,"USA:s Fauci: Hela landet hotas av snabb coronaspridning - ""Skulle inte vara förvånad om vi är uppe i över 100 000 fall per dag""",https://svenska.yle.fi/artikel/2020/07/01/usas-fauci-hela-landet-hotas-av-snabb-coronaspridning-skulle-inte-vara-forvanad
22,Tiotusentals hushåll utan el efter stormen Päivö - på onsdag väntar häftiga åskväder,https://svenska.yle.fi/artikel/2020/07/01/tiotusentals-hushall-utan-el-efter-stormen-paivo-pa-onsdag-vantar-haftiga
23,Hur ska man förbereda sig för åskan och vad ska man akta sig för? Gör vårt quiz och testa vad du vet om åskan!,https://svenska.yle.fi/artikel/2020/06/20/blixtar-dunder-och-brak-det-stora-askvadersquizet
24,Juli välkomnas med uppluckrade coronarestriktioner: Nu får över 500 personer samlas utomhus under specialarrangemang,https://svenska.yle.fi/artikel/2020/07/01/juli-valkomnas-med-uppluckrade-coronarestriktioner-nu-far-over-500-personer
25,"Efter coronaepidemin behövs många bloddonatorer – men skötaren varnar: ""Donera inte om du känner dig sjuk!""",https://svenska.yle.fi/artikel/2020/07/01/efter-coronaepidemin-behovs-manga-bloddonatorer-men-skotaren-varnar-donera-inte
26,Volvo återkallar rekordmånga bilar – 68 000 bilar i Finland måste fixas,https://svenska.yle.fi/artikel/2020/07/01/volvo-aterkallar-rekordmanga-bilar-68-000-bilar-i-finland-maste-fixas
27,Paf samarbetsförhandlar – 39 tjänster hotade,https://svenska.yle.fi/artikel/2020/07/01/paf-samarbetsforhandlar-39-tjanster-hotade
28,Bästa hemknuten i Svenskfinland: Sundom,https://svenska.yle.fi/artikel/2020/07/01/basta-hemknuten-i-svenskfinland-sundom
29,Sommartävling: Var finns bästa hemknuten i Svenskfinland?,https://svenska.yle.fi/artikel/2020/05/31/sommartavling-var-finns-basta-hemknuten-i-svenskfinland
30,Serie: Fartblinda,https://arenan.yle.fi/1-50404468
31,Vet du vilka regler som gäller när du åker elsparkcykel? Tre av fem gör inte det - många anser att sparkcyklarna gör trafiken osäker,https://svenska.yle.fi/artikel/2020/07/01/tre-av-fem-kanner-inte-till-reglerna-for-att-aka-elsparkcykel-manga-anser-att
32,Senaste nytt,https://svenska.yle.fi/senaste-nytt
